image,caption,labels,scores
dataset_images/Performancias/015 Toribío /01.jpg,a woman in a wedding dress,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/015 Toribío /03.jpg,a man standing in front of a white curtain,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/015 Toribío /02.jpg,a man is hanging a curtain on a wall,topografía del grito,{'topografía del grito': 1}
dataset_images/Performancias/015 Toribío /05.jpg,a cat is sitting on the floor with its head on the floor,limbo profanado,{}
dataset_images/Performancias/015 Toribío /04.jpg,a room with a curtain hanging from the ceiling,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/013A Arrozudo /01.jpg,a room with a wooden floor and a white rug,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/013A Arrozudo /03.jpg,a cat laying on a wooden floor with a star pattern,geometría del exterminio,{'geometría del exterminio': 1}
dataset_images/Performancias/026 El cuarto del artista /01.jpg,a man is upsided on a chair in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/026 El cuarto del artista /02.jpg,a horse with a hat on its head,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /016.jpg,a man in white shirt holding a knife,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /017.jpg,a man in white shirt and white pants holding a bag,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /029.jpg,a close up of a blood vein,mancha moral; evidencia forense; altar de la autoflagelación,"{'mancha moral': 1, 'evidencia forense': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/05 Caquetá /015.jpg,a man is eating food in a crowd,patria inaudita,{'patria inaudita': 1}
dataset_images/Performancias/05 Caquetá /014.jpg,a man is standing in front of a crowd,patria inaudita,{'patria inaudita': 1}
dataset_images/Performancias/05 Caquetá /028.jpg,a man is standing on a sidewalk with blood all over his body,evidencia forense; mancha moral; umbral de la carne; altar de la autoflagelación,"{'mancha moral': 1, 'evidencia forense': 2, 'umbral de la carne': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/05 Caquetá /010.jpg,a man is walking down the street with a baseball bat,periferia ontológica; geografía de la huida,"{'periferia ontológica': 1, 'geografía de la huida': 1}"
dataset_images/Performancias/05 Caquetá /011.jpg,a man holding a baby bird in his hands,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /013.jpg,a man in white shirt and white pants standing on a table,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /012.jpg,a man in a white shirt is holding a bag,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /01.jpg,a van is covered up with a sheet of paper,cartografía lacerada,{'cartografía lacerada': 1}
dataset_images/Performancias/05 Caquetá /03.jpg,a man in a car with a bunch of people,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /02.jpg,a car covered in plastic on a city street,periferia ontológica,{'periferia ontológica': 1}
dataset_images/Performancias/05 Caquetá /06.jpg,a group of people standing around a line of candles,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /07.jpg,a man kneeling down to a white cat,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /05.jpg,a man in a white suit is being carried by a woman,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /04.jpg,a group of people riding in a car,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /09.jpg,a man is putting a bag of bread on the street,periferia ontológica,{'periferia ontológica': 1}
dataset_images/Performancias/05 Caquetá /08.jpg,a group of people standing around a car,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /023.jpg,a hot dog on the ground with a plastic bottle,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /022.jpg,a baby stroller with a bunch of flowers on it,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /020.jpg,a black and white photo of a pile of wood,arquitectura del desecho,{'arquitectura del desecho': 1}
dataset_images/Performancias/05 Caquetá /034.jpg,a black and white photo of a man in a suit,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /021.jpg,a black and white photo of a woman,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /025.jpg,a man in a white shirt and tie is cutting a piece of meat,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /031.jpg,a large group of people standing around a bloody table,mancha moral; evidencia forense; altar de la autoflagelación,"{'mancha moral': 1, 'evidencia forense': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/05 Caquetá /019.jpg,a black and white image of a large amount of black ink,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /018.jpg,a person standing in the water with their feet in the water,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /030.jpg,a close up of a pile of red food,arquitectura del desecho,{'arquitectura del desecho': 1}
dataset_images/Performancias/05 Caquetá /024.jpg,a group of people standing around a long line of white objects,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /032.jpg,a person standing in a puddle of water,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /026.jpg,a man in white is holding a knife,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/05 Caquetá /027.jpg,a red bird is perched on a white sheet,limbo profanado,{}
dataset_images/Performancias/05 Caquetá /033.jpg,blood on the floor,mancha moral; evidencia forense; altar de la autoflagelación,"{'mancha moral': 1, 'evidencia forense': 1, 'altar de la autoflagelación': 1}"
dataset_images/Performancias/08 Mugre /010.jpg,a man holding a black bear in a room,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/08 Mugre /011.jpg,a man holding a dog in his arms,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /013.jpg,a white box with a black and white drawing on it,limbo profanado,{}
dataset_images/Performancias/08 Mugre /012.jpg,a man holding a dog in his arms,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /01.jpg,a man with a red shirt and a black tie,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /03.jpg,a man is holding a bear in his hands,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /02.jpg,a man carrying a woman on his back,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /06.jpg,a man laying on a bed with a red shirt,anomía habitacional,{'anomía habitacional': 1}
dataset_images/Performancias/08 Mugre /07.jpg,a man is pulling a man on the floor,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /05.jpg,a man is pulling a man on the floor,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /04.jpg,a man in a white shirt and white pants,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /09.jpg,a man is kneeling on the floor with a man,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/08 Mugre /08.jpg,a man is laying on the floor with a dog,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/031Roto /01.jpg,a person is holding a pen and drawing a picture,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/031Roto /03.jpg,a black and white photo of a pile of debris,arquitectura del desecho,{'arquitectura del desecho': 2}
dataset_images/Performancias/031Roto /02.jpg,a man ' s hand holding a pair of scissors,umbral de la carne; cuerpo como arma,{}
dataset_images/Performancias/01 10 de marzo /01.jpg,a man is standing in a room with a dog,anomía habitacional,{'anomía habitacional': 1}
